institute,model,component,property,value
CSIRO-BOM,ACCESS1.0,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Isoneutral
CSIRO-BOM,ACCESS1.0,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
IPSL,IPSL-CM5A-MR,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
CSIRO-BOM,ACCESS1.3,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Isoneutral
CSIRO-BOM,ACCESS1.3,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
NCEP,CFSV2-2011,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
CNRM-CERFACS,CNRM-CM5,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
MRI,MRI-CGCM3,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
MRI,MRI-ESM1,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
EC-EARTH,EC-EARTH,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
NOAA-GFDL,GFDL-CM2P1,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
NOAA-GFDL,GFDL-CM3,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
NOAA-GFDL,GFDL-ESM2M,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
IPSL,IPSL-CM5A-LR,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isoneutral
NOAA-GFDL,GFDL-CM3,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,Isoprene
NASA-GISS,GISS-E2-H,Aerosols > Model,Scientific Properties > Gas Phase Precursors,Isoprene
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,Isoprene
NASA-GISS,GISS-E2-H-CC,Aerosols > Model,Scientific Properties > Gas Phase Precursors,Isoprene
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,Isoprene
NASA-GISS,GISS-E2-R,Aerosols > Model,Scientific Properties > Gas Phase Precursors,Isoprene
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,Isoprene
NASA-GISS,GISS-E2-R-CC,Aerosols > Model,Scientific Properties > Gas Phase Precursors,Isoprene
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,Isoprene
NASA-GISS,GISS-E2CS-H,Aerosols > Model,Scientific Properties > Gas Phase Precursors,Isoprene
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,Isoprene
NASA-GISS,GISS-E2CS-R,Aerosols > Model,Scientific Properties > Gas Phase Precursors,Isoprene
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,Isoprene
MRI,MRI-ESM1,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,Isoprene
NCC,NORESM1-M,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
MPI-M,MPI-ESM-MR,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
CMCC,CMCC-CESM,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Isopycnal
CMCC,CMCC-CESM,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
CMCC,CMCC-CM,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Isopycnal
MPI-M,MPI-ESM-P,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
CMCC,CMCC-CM,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
NCC,NORESM1-M,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Isopycnal
CMCC,CMCC-CMS,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Isopycnal
CMCC,CMCC-CMS,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
CSIRO-QCCCE,CSIRO-MK3.6.0,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
NCC,NORESM1-ME,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Isopycnal
NCC,NORESM1-ME,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
NOAA-GFDL,GFDL-ESM2G,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Isopycnal
NOAA-GFDL,GFDL-ESM2G,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
NASA-GISS,GISS-E2-H,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
NASA-GISS,GISS-E2-H-CC,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
NASA-GISS,GISS-E2-R,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
NASA-GISS,GISS-E2-R-CC,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
NASA-GISS,GISS-E2CS-H,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
NASA-GISS,GISS-E2CS-R,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
MOHC,HADCM3,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
MPI-M,MPI-ESM-LR,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
MOHC,HADGEM2-CC,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
MOHC,HADGEM2-ES,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
INPE,HADGEM2-ES,Ocean > Lateral Physics > Tracers,Scientific Properties > Operator > Direction,Isopycnal
INM,INM-CM4,Ocean > Lateral Physics,Standard Properties > Description,"Isopycnal diffusion with constant coefficient and Laplas**2 at sigma-surfaces are applied for temperature and salinity. 
Laplas**2 and Laplas**4 at sigma-surfaces with constant coefficients are applied for u, v."
INM,INM-CM4,Ocean > Lateral Physics > Tracers,Standard Properties > Description,"Isopycnal diffusion with constant coefficient of 8e+2 m2/s, and Laplas**2 at model sigma-surfaces with constant coefficient of 8e+13m4/s are applied for temperature and salinity."
MOHC,HADCM3,Ocean > Lateral Physics,Standard Properties > Description,"Isopycnal diffusivity takes a constant value of 500 m2 s-1 using the Griffies et al. (1998) scheme; the Gent and McWilliams (1990) adiabatic mixing scheme in the skew flux form (Griffies 1998) is used with a spatially and temporally varying coefficient (Visbeck et al. 1997; Roberts 2004), a minimum value of 150 m2s-1 and maximum of 2000 m2s-1, and spatial distribution with higher values in the western boundary currents and Antarctic Circumpolar Current. The biharmonic adiabatic scheme of Roberts and Marshall (1998) is used with a coefficient of 1.0e+12 cos3(latitude) m4 s-1. The cos(latitude) factor is required for numerical reasons owing to the convergence of meridians at high latitude. Horizontally aligned biharmonic tracer mixing in the top 20m (top two model layers), with coefficient 2.5e+12 cos3(latitude) m4 s-1 is included to partially represent enhanced mixing at the ocean surface. Momentum diffusion uses both a modified Laplacian scheme with a coefficient of 750(1-cos(latitude)) m2s-1 (modified to reduce the westward currents on the equator, giving better agreement with observations) and a biharmonic scheme with coefficient 1.0e+13 cos3(lat) m4 s-1."
MOHC,HADGEM2-CC,Ocean > Lateral Physics,Standard Properties > Description,"Isopycnal diffusivity takes a constant value of 500 m2 s-1 using the Griffies et al. (1998) scheme; the Gent and McWilliams (1990) adiabatic mixing scheme in the skew flux form (Griffies 1998) is used with a spatially and temporally varying coefficient (Visbeck et al. 1997; Roberts 2004), a minimum value of 150 m2s-1 and maximum of 2000 m2s-1, and spatial distribution with higher values in the western boundary currents and Antarctic Circumpolar Current. The biharmonic adiabatic scheme of Roberts and Marshall (1998) is used with a coefficient of 1.0e+12 cos3(latitude) m4 s-1. The cos(latitude) factor is required for numerical reasons owing to the convergence of meridians at high latitude. Horizontally aligned biharmonic tracer mixing in the top 20m (top two model layers), with coefficient 2.5e+12 cos3(latitude) m4 s-1 is included to partially represent enhanced mixing at the ocean surface. Momentum diffusion uses both a modified Laplacian scheme with a coefficient of 750(1-cos(latitude)) m2s-1 (modified to reduce the westward currents on the equator, giving better agreement with observations) and a biharmonic scheme with coefficient 1.0e+13 cos3(lat) m4 s-1."
MOHC,HADGEM2-ES,Ocean > Lateral Physics,Standard Properties > Description,"Isopycnal diffusivity takes a constant value of 500 m2 s-1 using the Griffies et al. (1998) scheme; the Gent and McWilliams (1990) adiabatic mixing scheme in the skew flux form (Griffies 1998) is used with a spatially and temporally varying coefficient (Visbeck et al. 1997; Roberts 2004), a minimum value of 150 m2s-1 and maximum of 2000 m2s-1, and spatial distribution with higher values in the western boundary currents and Antarctic Circumpolar Current. The biharmonic adiabatic scheme of Roberts and Marshall (1998) is used with a coefficient of 1.0e+12 cos3(latitude) m4 s-1. The cos(latitude) factor is required for numerical reasons owing to the convergence of meridians at high latitude. Horizontally aligned biharmonic tracer mixing in the top 20m (top two model layers), with coefficient 2.5e+12 cos3(latitude) m4 s-1 is included to partially represent enhanced mixing at the ocean surface. Momentum diffusion uses both a modified Laplacian scheme with a coefficient of 750(1-cos(latitude)) m2s-1 (modified to reduce the westward currents on the equator, giving better agreement with observations) and a biharmonic scheme with coefficient 1.0e+13 cos3(lat) m4 s-1."
INPE,HADGEM2-ES,Ocean > Lateral Physics,Standard Properties > Description,"Isopycnal diffusivity takes a constant value of 500 m2 s-1 using the Griffies et al. (1998) scheme; the Gent and McWilliams (1990) adiabatic mixing scheme in the skew flux form (Griffies 1998) is used with a spatially and temporally varying coefficient (Visbeck et al. 1997; Roberts 2004), a minimum value of 150 m2s-1 and maximum of 2000 m2s-1, and spatial distribution with higher values in the western boundary currents and Antarctic Circumpolar Current. The biharmonic adiabatic scheme of Roberts and Marshall (1998) is used with a coefficient of 1.0e+12 cos3(latitude) m4 s-1. The cos(latitude) factor is required for numerical reasons owing to the convergence of meridians at high latitude. Horizontally aligned biharmonic tracer mixing in the top 20m (top two model layers), with coefficient 2.5e+12 cos3(latitude) m4 s-1 is included to partially represent enhanced mixing at the ocean surface. Momentum diffusion uses both a modified Laplacian scheme with a coefficient of 750(1-cos(latitude)) m2s-1 (modified to reduce the westward currents on the equator, giving better agreement with observations) and a biharmonic scheme with coefficient 1.0e+13 cos3(lat) m4 s-1."
MRI,MRI-CGCM3,Ocean,Scientific Properties > Sea Water > Freezing Point Computation,It depends on Salinity.   m=-0.0543 S  [degreeC/pss]
MRI,MRI-ESM1,Ocean,Scientific Properties > Sea Water > Freezing Point Computation,It depends on Salinity.   m=-0.0543 S  [degreeC/pss]
MRI,MRI-ESM1,Sea Ice > Thermodynamics,Scientific Properties > Surface Albedo,"It depends on amounts (depths) of ice or snow, temperature, and pollution due to aerosol deposition. See also additional information. This is calculated on Atmospheric grid."
MRI,MRI-CGCM3,Sea Ice > Thermodynamics,Scientific Properties > Surface Albedo,"It depends on amounts (depths) of ice or snow, temperature, and pollution due to aerosol deposition. See also additional information. This is calculated on Atmospheric grid."
MRI,MRI-CGCM3,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Mixing Coefficient,It depends on the depth.  About 0.1e^(-4) (top) to 2.7e^(-4) (bottom).
MRI,MRI-ESM1,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Mixing Coefficient,It depends on the depth.  About 0.1e^(-4) (top) to 2.7e^(-4) (bottom).
MRI,MRI-AGCM3.2H,Land Surface > Soil,Scientific Properties > Soil Map > Structure,It depends on the vegetation type(SiB).
MRI,MRI-AGCM3.2H,Land Surface > Soil,Scientific Properties > Soil Map > Albedo,It depends on the vegetation type(SiB).
MRI,MRI-AGCM3.2H,Land Surface > Soil,Scientific Properties > Soil Map > Water Table,It depends on the vegetation type(SiB).
MRI,MRI-AGCM3.2S,Land Surface > Soil,Scientific Properties > Soil Map > Structure,It depends on the vegetation type(SiB).
MRI,MRI-AGCM3.2S,Land Surface > Soil,Scientific Properties > Soil Map > Water Table,It depends on the vegetation type(SiB).
MRI,MRI-CGCM3,Land Surface > Soil,Scientific Properties > Soil Map > Texture,It depends on the vegetation type(SiB).
MRI,MRI-ESM1,Land Surface > Soil,Scientific Properties > Soil Map > Albedo,It depends on the vegetation type(SiB).
MRI,MRI-ESM1,Land Surface > Soil,Scientific Properties > Soil Map > Water Table,It depends on the vegetation type(SiB).
MRI,MRI-ESM1,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,It depends on the vegetation type(SiB).
MRI,MRI-AGCM3.2H,Land Surface > Soil,Scientific Properties > Soil Map > Texture,It depends on the vegetation type(SiB).
MRI,MRI-CGCM3,Land Surface > Soil,Scientific Properties > Soil Map > Albedo,It depends on the vegetation type(SiB).
MRI,MRI-CGCM3,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,It depends on the vegetation type(SiB).
MRI,MRI-CGCM3,Land Surface > Soil,Scientific Properties > Soil Map > Structure,It depends on the vegetation type(SiB).
MRI,MRI-ESM1,Land Surface > Soil,Scientific Properties > Soil Map > Structure,It depends on the vegetation type(SiB).
MRI,MRI-CGCM3,Land Surface > Soil,Scientific Properties > Soil Map > Water Table,It depends on the vegetation type(SiB).
MRI,MRI-AGCM3.2S,Land Surface > Soil,Scientific Properties > Soil Map > Texture,It depends on the vegetation type(SiB).
MRI,MRI-AGCM3.2S,Land Surface > Soil,Scientific Properties > Soil Map > Albedo,It depends on the vegetation type(SiB).
MRI,MRI-ESM1,Land Surface > Soil,Scientific Properties > Soil Map > Texture,It depends on the vegetation type(SiB).
MRI,MRI-CGCM3,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,"It depends on the vegetation type(SiB). The same as ""Ground Water Layers"""
MRI,MRI-ESM1,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,"It depends on the vegetation type(SiB). The same as ""Ground Water Layers"""
MOHC,HADCM3,Ocean > Boundary Forcing,Standard Properties > Description,"It has been shown that the Bryan-Cox type models are highly sensitive to the depth of the various channels along the Greenland-Iceland-Scotland ridge. Many of these channels are sub-gridscale and so three routes (one grid point wide on the velocity grid) through the ridge were 'excavated'. The Denmark Strait and Iceland-Faeroes ridge were reduced to 797.9 m (bottom of level 12), while the Faeroe- Scotland ridge was set to 534.7 m (bottom of model level 11). This leads to a long-term mean outflow of approximately 8.5 Sv in the coupled simulation, compared with the observed outflow of around 5-6 Sv (Dickson and Brown 1994). An island is also placed at the North Pole to avoid the polar singularity in the spherical co-ordinate system."
INM,INM-CM4,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Diffusion > Scheme Method,Iterated Laplacian
CSIRO-BOM,ACCESS1.0,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Diffusion > Scheme Method,Iterated Laplacian
IPSL,IPSL-CM5A-MR,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Diffusion > Scheme Method,Iterated Laplacian
CSIRO-BOM,ACCESS1.3,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Diffusion > Scheme Method,Iterated Laplacian
